id,enlace
CL-AD-14735282,https://www.chileautos.cl/vehiculos/detalles/2013-mazda-6-2-0-skyactiv-g-le-auto/CL-AD-14735282/?Cr=0&gts=CL-AD-14735282&gtsSaleId=CL-AD-14735282&gtsViewType=showcase&rankingType=showcase
CL-AD-15499247,https://www.chileautos.cl/vehiculos/detalles/2020-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CL-AD-15499247/?Cr=0&gts=CL-AD-15499247&gtsSaleId=CL-AD-15499247&gtsViewType=showcase&rankingType=showcase
CL-AD-15185232,https://www.chileautos.cl/vehiculos/detalles/2019-mazda-bt-50-2-2-dsl-manual-sdx-4wd/CL-AD-15185232/?Cr=0&gts=CL-AD-15185232&gtsSaleId=CL-AD-15185232&gtsViewType=showcase&rankingType=showcase
CL-AD-15158840,https://www.chileautos.cl/vehiculos/detalles/2020-mazda-3-sport/CL-AD-15158840/?Cr=0&gts=CL-AD-15158840&gtsSaleId=CL-AD-15158840&gtsViewType=showcase&rankingType=showcase
CP-AD-8267126,https://www.chileautos.cl/vehiculos/detalles/2013-mazda-2-1-5-v/CP-AD-8267126/?Cr=0
CP-AD-8272121,https://www.chileautos.cl/vehiculos/detalles/2020-mazda-3-2-0-skyactiv-g-auto-v-hb/CP-AD-8272121/?Cr=1
CP-AD-8263708,https://www.chileautos.cl/vehiculos/detalles/2021-mazda-cx-30-2-0-s-skyactive-g/CP-AD-8263708/?Cr=2
GI-AD-314918,https://www.chileautos.cl/vehiculos/detalles/mazda-3-2021-2-0-v-7g-at/GI-AD-314918/?Cr=3
GI-AD-470450,https://www.chileautos.cl/vehiculos/detalles/mazda-cx-5-2019-2-0-r-awd-6mt-5p/GI-AD-470450/?Cr=4
GI-AD-476661,https://www.chileautos.cl/vehiculos/detalles/mazda-3-2021-2-0-s-6mt-4p/GI-AD-476661/?Cr=5
GI-AD-476124,https://www.chileautos.cl/vehiculos/detalles/mazda-2-2019-1-5-sport-s-mt-5p/GI-AD-476124/?Cr=6
GI-AD-465949,https://www.chileautos.cl/vehiculos/detalles/mazda-cx-5-2022-2-0-r-car-audio-6mt-5p/GI-AD-465949/?Cr=7
CP-AD-8275579,https://www.chileautos.cl/vehiculos/detalles/2018-mazda-3-sport-v-sr-2-0-at/CP-AD-8275579/?Cr=8
CP-AD-8272322,https://www.chileautos.cl/vehiculos/detalles/2021-mazda-bt-50-3-2-dsl-sdx-auto-hi-rider-4wd/CP-AD-8272322/?Cr=9
CP-AD-8265206,https://www.chileautos.cl/vehiculos/detalles/2019-mazda-cx-5-2-0-skyactiv-r-auto-4wd/CP-AD-8265206/?Cr=10
CP-AD-8249148,https://www.chileautos.cl/vehiculos/detalles/2018-mazda-cx-5-2-0-skyactiv-r-auto/CP-AD-8249148/?Cr=11
CP-AD-8263131,https://www.chileautos.cl/vehiculos/detalles/2015-mazda-bt-50-2-2-dsl-dx/CP-AD-8263131/?Cr=12
CP-AD-8252334,https://www.chileautos.cl/vehiculos/detalles/2016-mazda-cx-3-2-0-gt-auto-skyactive-4wd/CP-AD-8252334/?Cr=13
GI-AD-494383,https://www.chileautos.cl/vehiculos/detalles/mazda-3-sport-2016-2-5-sport-gt-sr-gps-at-5p/GI-AD-494383/?Cr=14
GI-AD-493439,https://www.chileautos.cl/vehiculos/detalles/mazda-cx-3-2017-all-new-cx3-r-2-0-6mt/GI-AD-493439/?Cr=15
CP-AD-8270283,https://www.chileautos.cl/vehiculos/detalles/2022-mazda-cx-30-2-0-v-auto-skyactive-g/CP-AD-8270283/?Cr=16
CP-AD-8274817,https://www.chileautos.cl/vehiculos/detalles/2021-mazda-3-2-5-auto-skyactiv-g-gtx/CP-AD-8274817/?Cr=17
